магазин;доход;расход;дата
ydoma;73633.98;75103.45;12/2/2012
ydoma;98839.19;23792.16;5/2/2012
ydoma;84158.28;21130.41;4/2/2012
ydoma;53367.61;18977.53;9/2/2012
pyterochka;12530.83;63229.52;12/2/2012
perekrestok;16664.31;71194.19;23/2/2012
perekrestok;64358.53;86467.67;14/2/2012
okey;63876.92;36288.41;7/2/2012
perekrestok;76982.47;48090.95;26/2/2012
okey;34416.40;75684.15;9/2/2012
okey;13933.24;51193.02;1/2/2012
okey;91173.16;15623.96;19/2/2012
pyterochka;48493.01;99926.51;5/2/2012
ydoma;62768.86;61056.38;4/2/2012
pyterochka;91655.31;32183.71;19/2/2012
ydoma;73617.25;40394.88;23/2/2012
perekrestok;38388.05;12202.49;4/2/2012
pyterochka;43222.09;51745.40;7/2/2012
ydoma;70851.08;74401.52;18/2/2012
ydoma;93619.23;63090.42;26/2/2012
perekrestok;19944.09;79714.37;13/2/2012
okey;89253.88;66736.13;2/2/2012
pyterochka;27702.05;77918.16;26/2/2012
okey;13796.08;44076.06;13/2/2012
okey;74147.70;19924.63;19/2/2012
ydoma;12706.20;38496.83;12/2/2012
ydoma;48379.87;46050.14;26/2/2012
perekrestok;42877.52;78737.94;22/2/2012
