магазин;доход;расход;дата
pyterochka;47483.84;59740.77;17/12/2012
okey;85474.29;23193.80;5/12/2012
perekrestok;86858.58;22926.13;16/12/2012
ydoma;95336.07;17417.90;12/12/2012
perekrestok;56655.08;25690.95;28/12/2012
okey;66757.56;13740.70;28/12/2012
okey;15060.43;29788.89;8/12/2012
ydoma;12067.29;52197.56;4/12/2012
okey;21036.63;92485.61;4/12/2012
pyterochka;16031.78;74444.56;5/12/2012
pyterochka;54327.73;42265.93;7/12/2012
okey;47823.45;72676.77;2/12/2012
okey;75954.72;96160.69;15/12/2012
pyterochka;38877.41;57207.36;25/12/2012
okey;85498.33;24587.64;18/12/2012
perekrestok;55282.61;67593.09;23/12/2012
pyterochka;75409.48;56474.64;17/12/2012
okey;97734.12;39154.59;10/12/2012
ydoma;58243.21;13149.34;12/12/2012
okey;58178.32;35556.52;6/12/2012
ydoma;70058.41;35960.95;26/12/2012
ydoma;10315.22;85318.73;17/12/2012
ydoma;70824.26;74115.56;22/12/2012
okey;11131.76;45849.59;12/12/2012
pyterochka;20185.13;94866.45;12/12/2012
ydoma;15019.46;49048.76;2/12/2012
ydoma;27609.48;74461.13;23/12/2012
pyterochka;98014.22;72533.27;1/12/2012
