магазин;доход;расход;дата
okey;52295.82;83771.42;16/4/2012
pyterochka;41498.71;34559.78;13/4/2012
okey;81462.10;19033.78;12/4/2012
pyterochka;77307.38;44187.68;21/4/2012
okey;78942.95;28790.35;22/4/2012
ydoma;12481.65;77223.09;24/4/2012
okey;94468.48;18447.27;6/4/2012
okey;83690.16;29332.89;2/4/2012
ydoma;33014.47;67651.34;16/4/2012
pyterochka;82160.46;51524.44;18/4/2012
pyterochka;55952.50;76863.81;25/4/2012
okey;60385.70;43119.67;27/4/2012
pyterochka;89197.95;15441.39;16/4/2012
ydoma;30632.79;30035.87;14/4/2012
ydoma;36368.38;89695.42;9/4/2012
perekrestok;73162.98;26474.61;12/4/2012
okey;13581.49;32435.65;22/4/2012
okey;73713.44;51948.24;4/4/2012
okey;17387.56;53164.50;10/4/2012
perekrestok;31430.21;50786.94;21/4/2012
okey;15917.35;19794.11;25/4/2012
perekrestok;87793.88;81902.63;13/4/2012
perekrestok;21697.18;90279.46;24/4/2012
ydoma;21688.53;70265.43;5/4/2012
perekrestok;59895.78;92508.66;1/4/2012
perekrestok;25524.78;21994.50;6/4/2012
ydoma;88776.10;47119.72;22/4/2012
pyterochka;66974.56;24493.15;27/4/2012
