магазин;доход;расход;дата
ydoma;74727.13;38273.52;23/9/2012
pyterochka;97196.55;66167.07;9/9/2012
okey;11269.08;67813.34;17/9/2012
okey;22225.00;86024.99;10/9/2012
perekrestok;27991.68;36399.13;25/9/2012
ydoma;52650.67;44345.77;10/9/2012
pyterochka;70869.19;86512.31;1/9/2012
okey;67707.66;83805.25;5/9/2012
ydoma;75805.34;15285.88;5/9/2012
ydoma;40271.60;81067.40;9/9/2012
okey;53202.09;89855.46;24/9/2012
ydoma;82640.74;46004.77;26/9/2012
pyterochka;50303.90;86654.63;18/9/2012
okey;60403.38;95661.20;10/9/2012
ydoma;72458.04;79179.74;25/9/2012
okey;93375.64;10394.82;14/9/2012
perekrestok;21628.38;88344.52;19/9/2012
pyterochka;36668.80;70055.29;19/9/2012
pyterochka;90801.63;43586.61;25/9/2012
okey;11036.71;51081.54;4/9/2012
ydoma;22864.99;32364.55;25/9/2012
okey;94028.33;44151.15;16/9/2012
pyterochka;42238.84;18924.05;18/9/2012
ydoma;11240.41;28158.66;6/9/2012
perekrestok;83238.48;78390.37;17/9/2012
ydoma;16584.58;52631.79;8/9/2012
perekrestok;25629.86;99877.13;9/9/2012
okey;88252.06;73587.53;21/9/2012
