магазин;доход;расход;дата
pyterochka;75779.04;46907.27;21/1/2012
pyterochka;39944.54;97098.03;6/1/2012
okey;96733.43;94587.88;15/1/2012
perekrestok;94337.39;45745.69;4/1/2012
pyterochka;36465.13;55583.53;3/1/2012
pyterochka;79348.23;69390.34;4/1/2012
ydoma;44038.18;22578.64;21/1/2012
ydoma;82470.50;10452.27;13/1/2012
perekrestok;76958.60;22782.04;16/1/2012
pyterochka;59009.93;61939.02;5/1/2012
pyterochka;66102.74;26623.64;21/1/2012
ydoma;24493.90;26024.94;17/1/2012
perekrestok;97645.06;32088.39;4/1/2012
pyterochka;29584.19;48880.62;21/1/2012
ydoma;90091.79;13449.42;3/1/2012
ydoma;68965.62;20785.51;6/1/2012
perekrestok;98589.05;28606.38;13/1/2012
perekrestok;51701.48;40024.92;16/1/2012
ydoma;55372.20;99908.27;26/1/2012
perekrestok;91862.56;55689.39;14/1/2012
ydoma;48590.58;37728.36;13/1/2012
pyterochka;96617.31;28854.35;4/1/2012
ydoma;59405.73;59992.15;4/1/2012
pyterochka;81027.16;72910.60;15/1/2012
pyterochka;32941.85;80012.47;16/1/2012
okey;98479.29;82325.67;28/1/2012
pyterochka;24679.32;67374.77;17/1/2012
okey;66807.09;28718.02;23/1/2012
