магазин;доход;расход;дата
okey;70316.96;21028.44;21/8/2012
perekrestok;55236.47;19750.65;22/8/2012
pyterochka;98520.10;45788.74;28/8/2012
ydoma;60392.18;65322.26;8/8/2012
pyterochka;20571.46;85081.89;16/8/2012
pyterochka;92018.03;46417.06;7/8/2012
okey;70056.90;86014.61;9/8/2012
ydoma;72595.90;88296.43;25/8/2012
pyterochka;26693.07;51736.93;17/8/2012
pyterochka;36721.55;64726.38;13/8/2012
pyterochka;70264.93;28893.90;22/8/2012
perekrestok;88961.22;78027.21;16/8/2012
perekrestok;61092.84;28636.39;26/8/2012
pyterochka;68545.46;24636.00;18/8/2012
pyterochka;87955.31;14174.77;21/8/2012
okey;92791.48;92069.92;15/8/2012
pyterochka;31608.69;86250.88;26/8/2012
perekrestok;22592.67;79511.31;13/8/2012
okey;68243.86;88029.18;27/8/2012
perekrestok;95624.45;32188.20;19/8/2012
okey;41123.54;23439.38;18/8/2012
perekrestok;85045.18;64580.84;10/8/2012
perekrestok;37566.03;80958.55;2/8/2012
ydoma;42217.54;78122.40;21/8/2012
pyterochka;80790.66;76062.39;24/8/2012
ydoma;12483.21;80450.24;16/8/2012
perekrestok;43918.73;85306.92;19/8/2012
okey;99276.96;48969.27;13/8/2012
