магазин;доход;расход;дата
ydoma;73169.12;17431.01;25/11/2012
okey;19784.96;48025.00;4/11/2012
pyterochka;66935.72;70720.63;12/11/2012
okey;36252.19;21564.17;13/11/2012
ydoma;68718.60;50343.63;1/11/2012
okey;58906.48;35700.45;3/11/2012
okey;81106.01;18735.95;13/11/2012
perekrestok;95268.78;31828.04;16/11/2012
perekrestok;86179.69;47528.94;1/11/2012
pyterochka;21712.16;46150.15;1/11/2012
perekrestok;20341.61;91871.09;25/11/2012
pyterochka;31361.07;95058.93;7/11/2012
pyterochka;91859.28;21430.18;27/11/2012
ydoma;28855.74;80889.22;22/11/2012
ydoma;22222.61;86947.34;23/11/2012
okey;23483.42;54748.70;24/11/2012
ydoma;36714.72;93800.13;2/11/2012
perekrestok;41470.34;77607.57;12/11/2012
perekrestok;78379.31;84619.05;7/11/2012
ydoma;79966.77;63045.54;5/11/2012
perekrestok;64978.28;83203.60;17/11/2012
perekrestok;94333.75;53722.97;6/11/2012
pyterochka;36326.51;10753.63;19/11/2012
perekrestok;96491.26;36080.78;25/11/2012
okey;51411.78;81569.53;3/11/2012
ydoma;52392.96;82389.00;16/11/2012
pyterochka;21396.09;60022.59;6/11/2012
pyterochka;18077.27;18057.79;17/11/2012
