магазин;доход;расход;дата
perekrestok;95236.12;34762.47;7/6/2012
ydoma;53163.29;87428.89;11/6/2012
perekrestok;74856.22;13909.15;21/6/2012
ydoma;79912.99;27560.23;16/6/2012
perekrestok;24676.79;65058.12;6/6/2012
okey;92504.18;52450.61;3/6/2012
pyterochka;83905.16;56443.67;1/6/2012
okey;49937.98;11655.67;16/6/2012
okey;15820.24;20580.36;11/6/2012
okey;65514.38;54265.24;7/6/2012
ydoma;27673.41;52798.58;9/6/2012
pyterochka;35622.48;15575.70;24/6/2012
okey;48381.81;28925.61;16/6/2012
ydoma;10023.67;77261.22;17/6/2012
pyterochka;96613.39;13977.00;15/6/2012
pyterochka;21620.02;75075.04;1/6/2012
pyterochka;40013.00;84046.51;3/6/2012
perekrestok;33601.40;15926.27;13/6/2012
perekrestok;78335.78;28334.35;2/6/2012
ydoma;48450.96;56745.53;2/6/2012
perekrestok;12233.18;67481.73;13/6/2012
okey;44887.63;10532.19;9/6/2012
ydoma;17067.58;90477.72;5/6/2012
okey;83612.24;83618.46;12/6/2012
ydoma;80197.41;92608.36;3/6/2012
pyterochka;81216.61;51837.93;19/6/2012
pyterochka;77052.28;95807.07;23/6/2012
okey;89174.56;79886.25;11/6/2012
