магазин;доход;расход;дата
okey;61043.06;57752.50;27/10/2012
perekrestok;21618.50;69756.08;23/10/2012
pyterochka;73316.80;46175.39;24/10/2012
perekrestok;95169.30;68123.43;25/10/2012
pyterochka;57062.48;71057.73;1/10/2012
ydoma;11471.08;72021.64;7/10/2012
ydoma;75947.37;70614.40;9/10/2012
okey;92941.82;17280.94;23/10/2012
pyterochka;10685.98;70368.65;27/10/2012
perekrestok;84698.20;54096.48;15/10/2012
okey;75373.81;17965.79;10/10/2012
okey;81945.68;44692.66;25/10/2012
perekrestok;74569.48;34336.98;9/10/2012
pyterochka;62428.69;51124.54;4/10/2012
perekrestok;45993.19;89914.83;15/10/2012
pyterochka;70425.41;28764.30;18/10/2012
okey;99521.31;31844.76;8/10/2012
okey;95044.83;30402.75;19/10/2012
ydoma;70568.68;41916.12;20/10/2012
perekrestok;94401.24;33265.33;28/10/2012
perekrestok;89309.52;56552.73;26/10/2012
ydoma;58181.59;87507.63;5/10/2012
pyterochka;89432.90;33297.89;9/10/2012
pyterochka;13608.59;24418.62;13/10/2012
okey;35292.71;31288.95;6/10/2012
pyterochka;65605.40;16216.67;28/10/2012
perekrestok;92023.32;32071.86;5/10/2012
perekrestok;37695.92;16163.25;7/10/2012
