магазин;доход;расход;дата
okey;68477.63;24765.57;17/7/2012
ydoma;24165.59;16744.22;11/7/2012
pyterochka;30336.11;74040.49;10/7/2012
okey;59633.92;53224.75;19/7/2012
okey;38364.89;94756.69;19/7/2012
okey;71351.35;94225.46;6/7/2012
okey;12558.32;63317.35;12/7/2012
pyterochka;61567.29;55433.42;28/7/2012
okey;37717.62;47582.24;7/7/2012
perekrestok;34173.94;40445.05;2/7/2012
okey;10724.51;39412.72;17/7/2012
pyterochka;44113.32;41534.87;8/7/2012
perekrestok;32086.06;72290.06;5/7/2012
okey;37271.38;73727.46;28/7/2012
pyterochka;94491.23;42223.40;28/7/2012
okey;26456.84;44086.31;16/7/2012
pyterochka;65735.76;72549.02;14/7/2012
perekrestok;46201.19;14015.87;9/7/2012
pyterochka;27226.08;74000.39;26/7/2012
perekrestok;55341.74;13254.33;19/7/2012
perekrestok;13272.73;40961.14;23/7/2012
perekrestok;15304.11;67586.29;22/7/2012
perekrestok;85031.41;10804.48;10/7/2012
okey;22170.16;34190.90;23/7/2012
perekrestok;66840.87;83222.77;7/7/2012
pyterochka;37831.93;86119.66;5/7/2012
okey;91031.32;50351.30;1/7/2012
ydoma;55466.40;21422.03;7/7/2012
