магазин;доход;расход;дата
pyterochka;56144.69;53080.83;14/3/2012
ydoma;12861.68;50001.09;23/3/2012
perekrestok;74716.81;80015.52;15/3/2012
okey;80321.93;96962.86;17/3/2012
pyterochka;31519.58;50066.31;23/3/2012
ydoma;31102.67;69047.42;1/3/2012
okey;60037.00;32526.66;16/3/2012
pyterochka;75137.61;79929.19;15/3/2012
okey;25813.18;50031.46;1/3/2012
perekrestok;64172.32;67415.22;10/3/2012
perekrestok;15885.73;94422.75;21/3/2012
perekrestok;30625.42;37357.88;22/3/2012
perekrestok;87141.43;82636.87;11/3/2012
ydoma;33872.18;12913.56;28/3/2012
pyterochka;16692.52;64822.70;6/3/2012
perekrestok;12666.99;73733.84;24/3/2012
perekrestok;20420.96;72210.33;28/3/2012
ydoma;30532.20;25084.00;24/3/2012
perekrestok;82890.08;56343.62;10/3/2012
ydoma;14778.41;64557.12;9/3/2012
okey;62536.90;43277.72;9/3/2012
perekrestok;71778.75;30211.65;22/3/2012
ydoma;73685.22;12681.79;28/3/2012
pyterochka;38432.58;83419.32;17/3/2012
ydoma;50806.38;38773.74;11/3/2012
ydoma;57003.33;38378.35;21/3/2012
pyterochka;18538.97;96292.72;17/3/2012
pyterochka;12123.88;17624.87;23/3/2012
